09/12/2024,WAITROSE 193 BATH ))),-5.00
09/12/2024,ZETTLE_*THE COLOMB PAULTON ))),-2.90
09/12/2024,TESCO PAY AT PUMP ABINGDON VIS,-47.84
09/12/2024,J DOWLING CR,551.00
05/12/2024,Prime Video *S27PA 353-12477661 VIS,-3.99
05/12/2024,VRISTHI NEWS THAMES DITTON ))),-1.19
05/12/2024,BUDGENS THAMES DITTO ))),-11.98
05/12/2024,SAINSBURYS S/MKTS SURBITON ))),-12.28
05/12/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-15.60
04/12/2024,OLE AND STEEN  JUB LONDON ))),-3.45
04/12/2024,SPOTIFY LONDON VIS,-11.99
04/12/2024,Microsoft*Microsof msbill.info VIS,-1.99
04/12/2024,ELEANOR GREGORY RICHARD SO,-282.00
03/12/2024,INT'L 0062110860 APPLE.COM/BILL 08001076285 VIS,-0.99
03/12/2024,1503 LIDL GB HERSH LIDL GB HERSH ))),-39.72
03/12/2024,HSBC CREDIT CARD DD,-26.39
02/12/2024,KFC SURBITON VIS,-18.48
02/12/2024,AMZNMktplace*BS0BI amazon.co.uk VIS,-32.77
02/12/2024,BUDGENS THAMES DITTO ))),-23.46
02/12/2024,YE OLDE SWAN THAMES DITTON ))),-8.55
02/12/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-15.60
02/12/2024,RICHARD DOWLING CR,500.00
29/11/2024,SAINSBURYS S/MKTS SURBITON ))),-33.94
29/11/2024,GOOGLE *Google Pla g.co/helppay# VIS,-4.59
28/11/2024,McDonalds 8260292 Surbiton VIS,-3.26
28/11/2024,SAINSBURYS S/MKTS SURBITON ))),-2.35
28/11/2024,OCTOPUS ENERGY DD,-70.00
27/11/2024,SAINSBURYS S/MKTS SURBITON ))),-18.23
27/11/2024,SumUp  *ThePressRo Twickenham ))),-3.20
26/11/2024,AMZNMktplace*TP3YM amazon.co.uk VIS,-156.51
26/11/2024,SAINSBURYS S/MKTS SURBITON ))),-1.45
25/11/2024,WAITROSE 232 SURBITON ))),-32.87
25/11/2024,QBS WORLDWIDE LTD MALTON VIS,-78.80
25/11/2024,CHILDCARE TAX SERV 1100107521844 SO,-338.84
22/11/2024,McDonalds 8260292 Surbiton VIS,-2.88
22/11/2024,VRISTHI NEWS THAMES DITTON ))),-9.55
22/11/2024,VODAFONE LTD DD,-23.98
21/11/2024,Victoria Surbiton ))),-5.35
20/11/2024,KFC SURBITON VIS,-14.56
20/11/2024,SAINSBURYS S/MKTS SURBITON ))),-14.02
19/11/2024,BUDGENS THAMES DITTO ))),-7.99
18/11/2024,BOOTS 0847 SURBITON ))),-14.32
18/11/2024,VRISTHI NEWS THAMES DITTON ))),-12.24
18/11/2024,RICHARD DOWLING CR,500.00
15/11/2024,McDonalds 8260292 Surbiton VIS,-2.88
15/11/2024,SAINSBURYS S/MKTS SURBITON VIS,-86.12
15/11/2024,ROH COVENT GARDEN CR,173.00
14/11/2024,Eleanor Gregory Pram BP,-150.00
13/11/2024,Futon Limited London VIS,-34.00
13/11/2024,VRISTHI NEWS THAMES DITTON ))),-19.29
13/11/2024,INTERACTIVE INVEST FIRST PAYMENT DD,-11.99
12/11/2024,AMZNMktplace*T1133 amazon.co.uk VIS,-129.95
12/11/2024,SAINSBURYS S/MKTS SURBITON ))),-3.55
12/11/2024,FARA SURBITON KIDS SURBITON ))),-4.50
12/11/2024,Lebara Mobile Limi London VIS,-3.18
11/11/2024,McDonalds 8260292 Surbiton VIS,-2.19
11/11/2024,SPORTSDIRECT 294 08443325294 ))),-5.00
11/11/2024,WAITROSE 195 KINGSTON ))),-43.49
11/11/2024,AMAZON* T13OY3O74 LONDON VIS,-22.81
11/11/2024,WAITROSE 232 SURBITON ))),-10.99
11/11/2024,ROYALOPERAHSE LONDON ))),-1.90
11/11/2024,BOOTS 0847 SURBITON ))),-12.48
11/11/2024,The Antelope Surbiton ))),-12.60
11/11/2024,Gregory Eleanor SERVICES RENDERED CR,220.00
08/11/2024,SHELL LONG DITTON THAMES DITTON ))),-55.42
07/11/2024,McDonalds 8260292 Surbiton VIS,-3.23
07/11/2024,SAINSBURYS S/MKTS SURBITON ))),-9.30
07/11/2024,WAITROSE 232 SURBITON ))),-6.10
07/11/2024,SumUp  *ThePressRo Twickenham ))),-2.75
07/11/2024,J DOWLING CR,551.00
06/11/2024,SPORTSDIRECT.COM SHIREBROOK VIS,-60.99
